1,1-1,0.003457,0.0005343,0.898,103.2,0.001162,0.737,3593,0.003557
2,1-2,0.006298,0.000397,0.9433,0.07029,0.001723,0.8321,823.9,0.01921
3,1-3,0.005791,0.0002895,0.8931,1.964,0.0008603,0.815,1.38E+04,9.79E-03
4,1-4,0.0104,3.19E-05,0.9653,0.9494,0.001234,0.8,3484,0.008335
5,1-6,2.30E-16,9.06E-05,0.9111,32.55,0.0002384,0.7634,1.39E+04,3.58E-03
6,1-7,0.008688,2.89E-05,0.9431,26.39,0.0001941,0.6829,1.29E+04,5.05E-03
7,1-8,2.29E-12,0.0002122,0.7069,2.60E-08,3.21E-05,0.8703,2.21E+04,8.58E-03
8,1-9,0.002058,0.0001032,0.9258,40.03,0.000506,0.6651,1.45E+04,5.60E-03
9,1-10,3.79E-15,5.82E-05,0.9164,52.77,0.0001961,0.7482,2.639E+04,6.351E-03
10,1-11,0.0102,3.99E-05,0.9388,15.03,0.0001569,0.6808,3.81E+04,2.55E-03
11,1-12,4.24E-08,5.73E-05,0.8561,38.04,6.68E-05,0.902,1.788E+04,1.401E-02
12,1-16,0.003846,0.0008439,0.8196,2.715,0.001652,0.5157,374.3,Null
13,1-18,8.23E-08,0.0005539,0.7903,0.6652,0.0123,0.5285,82.8,0.007656
14,1-19,1.41E-13,2.32E-05,0.9355,75.99,0.0001361,0.8564,1.76E+04,1.03E-02
15,1-20,1.90E-19,6.73E-05,0.8546,58.32,5.80E-05,0.9123,1.87E+04,9.94E-03
16,1-21,1.19E-08,3.24E-05,0.9173,26.16,0.0001002,0.8364,2.16E+04,4.44E-03
17,1-22,2.40E-08,3.94E-05,0.9288,20.73,0.0002582,0.7077,1.83E+04,5.90E-03
18,1-24,9.24E-10,4.21E-05,0.8805,10.85,9.12E-05,0.8452,2.09E+04,4.46E-03
19,1-25,9.48E-14,4.36E-05,0.8864,71.61,7.99E-05,0.7655,2.51E+04,2.16E-03
20,1-26,0.003367,4.70E-05,0.8897,446.5,4.76E-05,0.7685,1.47E+04,5.78E-03
21,1-27,0.02363,0.0001014,0.8544,4.682,0.00001873,0.9245,17420,0.003393
