DE:9,10,9;8,10,7;3,6,1;6,10,2;8,5,7;9,3,6;9,10,6;7,10,2;9,10,7;
EDA:2,8,3;3,8,4;2,6,4;1,6,2;2,9,1;2,8,2;2,7,4;1,6,3;2,6,2;
EP:1,1,1;2,2,0;6,2,7;7,2,7;9,2,9;4,2,4;7,2,8;3,3,0;4,2,2;
ES:7,3,6;6,3,6;7,3,6;5,3,4;4,4,3;5,4,6;6,3,5;7,3,5;4,3,6;
GA:4,2,4;5,3,3;7,3,5;4,2,5;5,2,4;6,2,5;5,3,4;5,2,6;5,2,4;
GSO:9,9,9;10,9,9;5,9,2;9,9,8;5,9,5;7,9,3;6,8,8;6,8,5;8,8,5;
HS:8,1,7;8,1,7;9,1,8;8,1,8;6,1,8;8,1,9;8,1,9;9,1,8;7,1,8;
ICA:3,9,1;4,9,1;4,10,3;3,9,1;6,10,4;6,10,4;5,9,2;4,9,1;7,9,6;
ISA:3,6,0;3,6,1;3,8,2;3,7,3;3,8,3;3,9,1;4,9,1;3,8,2;3,8,3;
TLBO:9,4,8;7,2,5;8,2,6;5,1,4;7,3,6;7,3,5;7,1,5;6,2,4;8,3,5;
BB_BC:0,2,0;0,4,2;1,4,1;0,3,0;0,3,0;1,5,2;1,2,3;0,4,4;1,4,1;
BH:6,5,6;6,5,5;5,5,7;4,6,6;3,6,2;4,6,8;4,6,7;5,5,6;6,7,8;
CSS:4,3,3;1,1,3;1,1,0;8,4,7;8,1,7;1,1,0;1,4,0;8,1,7;0,1,0;
GSA:2,5,2;1,5,6;0,5,0;1,5,0;1,5,0;0,4,0;0,5,0;1,5,7;1,5,0;
MVO:8,8,8;4,8,0;6,9,5;6,8,5;4,7,5;5,6,7;3,5,1;4,7,0;5,7,7;
ACA:1,0,2;2,0,2;2,0,3;2,0,1;1,0,1;2,0,1;2,0,3;2,0,3;2,0,1;
ABC:6,4,5;7,4,8;8,4,8;7,4,6;10,4,9;8,5,8;8,4,7;8,4,8;9,4,9;
GWO:5,7,5;9,7,8;10,8,9;10,5,9;7,6,6;9,7,7;9,7,6;9,9,9;6,9,4;
PSO:5,7,4;5,7,4;4,7,4;2,8,3;2,8,2;3,8,3;3,8,2;2,7,1;3,6,3;
WOA:7,6,7;9,6,9;9,7,9;9,7,9;9,7,8;10,7,9;10,6,9;10,6,9;10,5,9;
