Distance measure,K,Acc+Kappa
bc_d,1,0.891686108
bc_d,2,0.850294118
bc_d,3,0.824169309
bc_d,4,0.850771492
bc_d,5,0.798368899
bc_d,6,0.772098138
bc_d,7,0.771272653
bc_d,8,0.789511972
bc_d,9,0.863332909
bc_d,10,0.817333105
bc_d,11,0.814518747
bc_d,12,0.889178568
bc_d,13,0.834438084
bc_d,14,0.861973431
bc_d,15,0.858156028
bc_d,16,0.783687943
bc_d,17,0.856180904
bc_d,18,0.831011508
bc_d,19,0.806966058
bc_d,20,0.805828904
bc_d,21,0.834538334
bc_d,22,0.825187109
bc_d,23,0.829692004
bc_d,24,0.852895675
cheb_d,1,0.823903956
cheb_d,2,0.795948426
cheb_d,3,0.805036115
cheb_d,4,0.873913221
cheb_d,5,0.823187186
cheb_d,6,0.812494015
cheb_d,7,0.788479136
cheb_d,8,0.768367971
cheb_d,9,0.841677842
cheb_d,10,0.866226971
cheb_d,11,0.838820712
cheb_d,12,0.913586294
cheb_d,13,0.888895074
cheb_d,14,0.862945068
cheb_d,15,0.886332135
cheb_d,16,0.907707227
cheb_d,17,0.882110685
cheb_d,18,0.857761958
cheb_d,19,0.80984363
cheb_d,20,0.861486519
cheb_d,21,0.834939034
cheb_d,22,0.83323272
cheb_d,23,0.78546633
cheb_d,24,0.832325827
cos_d,1,0.869307637
cos_d,2,0.797563984
cos_d,3,0.786924065
cos_d,4,0.823973116
cos_d,5,0.839315089
cos_d,6,0.860217119
cos_d,7,0.909210889
cos_d,8,0.843048327
cos_d,9,0.870898691
cos_d,10,0.848281457
cos_d,11,0.865842593
cos_d,12,0.820421747
cos_d,13,0.818532086
cos_d,14,0.843926344
cos_d,15,0.865554007
cos_d,16,0.815928866
cos_d,17,0.809741277
cos_d,18,0.809434035
cos_d,19,0.783897639
cos_d,20,0.782216524
cos_d,21,0.786820145
cos_d,22,0.781478475
cos_d,23,0.75725631
cos_d,24,0.760040515
dtw_d,1,0.869307637
dtw_d,2,0.765228818
dtw_d,3,0.788065135
dtw_d,4,0.838622754
dtw_d,5,0.855387502
dtw_d,6,0.806449639
dtw_d,7,0.806449639
dtw_d,8,0.802394589
dtw_d,9,0.780421403
dtw_d,10,0.824671354
dtw_d,11,0.80145196
dtw_d,12,0.830910192
dtw_d,13,0.831416465
dtw_d,14,0.872901366
dtw_d,15,0.848666467
dtw_d,16,0.791989214
dtw_d,17,0.767152263
dtw_d,18,0.743894043
dtw_d,19,0.765940984
dtw_d,20,0.743894043
dtw_d,21,0.748330129
dtw_d,22,0.739854552
dtw_d,23,0.744896924
dtw_d,24,0.744896924
e_d,1,0.798855432
e_d,2,0.848665782
e_d,3,0.849816041
e_d,4,0.850294118
e_d,5,0.827584055
e_d,6,0.867855482
e_d,7,0.840005976
e_d,8,0.863042072
e_d,9,0.84412114
e_d,10,0.840498582
e_d,11,0.865265164
e_d,12,0.890027528
e_d,13,0.912289425
e_d,14,0.936465322
e_d,15,0.888043063
e_d,16,0.863817056
e_d,17,0.864783182
e_d,18,0.814316819
e_d,19,0.811477087
e_d,20,0.861096462
e_d,21,0.862362436
e_d,22,0.81239246
e_d,23,0.811069459
e_d,24,0.810559235
em_d,1,0.524730138
em_d,2,0.600776708
em_d,3,0.750611388
em_d,4,0.681248094
em_d,5,0.703996734
em_d,6,0.680518617
em_d,7,0.567639323
em_d,8,0.689879741
em_d,9,0.615516528
em_d,10,0.70363088
em_d,11,0.727456046
em_d,12,0.753998533
em_d,13,0.773229991
em_d,14,0.778834483
em_d,15,0.752135642
em_d,16,0.733023464
em_d,17,0.728301969
em_d,18,0.70287613
em_d,19,0.729145906
em_d,20,0.703415396
em_d,21,0.702119822
em_d,22,0.699950322
em_d,23,0.725651827
em_d,24,0.820421747
jsd_d,1,0.857871149
jsd_d,2,0.921705392
jsd_d,3,0.89784255
jsd_d,4,0.847511446
jsd_d,5,0.88690347
jsd_d,6,0.88201409
jsd_d,7,0.887568731
jsd_d,8,0.885664274
jsd_d,9,0.86119402
jsd_d,10,0.886236812
jsd_d,11,0.889744795
jsd_d,12,0.810048242
jsd_d,13,0.834838904
jsd_d,14,0.836237981
jsd_d,15,0.837631184
jsd_d,16,0.860705937
jsd_d,17,0.833132075
jsd_d,18,0.832022982
jsd_d,19,0.804272118
jsd_d,20,0.782321832
jsd_d,21,0.774657369
jsd_d,22,0.774980089
jsd_d,23,0.80019109
jsd_d,24,0.774980089
maha_d,1,0.538422106
maha_d,2,0.447264878
maha_d,3,0.444221653
maha_d,4,0.532899776
maha_d,5,0.509313977
maha_d,6,0.412090451
maha_d,7,0.449585094
maha_d,8,0.390987382
maha_d,9,0.436131176
maha_d,10,0.435482661
maha_d,11,0.411168885
maha_d,12,0.360239636
maha_d,13,0.389792715
maha_d,14,0.389792715
maha_d,15,0.41771023
maha_d,16,0.4154969
maha_d,17,0.390987382
maha_d,18,0.368220472
maha_d,19,0.345631573
maha_d,20,0.321165021
maha_d,21,0.321165021
maha_d,22,0.30045048
maha_d,23,0.30045048
maha_d,24,0.277994872
manha_d,1,0.870655271
manha_d,2,0.848857775
manha_d,3,0.827681104
manha_d,4,0.847607797
manha_d,5,0.773948347
manha_d,6,0.845190455
manha_d,7,0.86966587
manha_d,8,0.836935314
manha_d,9,0.868809591
manha_d,10,0.842852893
manha_d,11,0.866994356
manha_d,12,0.914140435
manha_d,13,0.916530278
manha_d,14,0.937825484
manha_d,15,0.912660514
manha_d,16,0.887188753
manha_d,17,0.912382239
manha_d,18,0.862362436
manha_d,19,0.863913799
manha_d,20,0.862556763
manha_d,21,0.836437369
manha_d,22,0.834738744
manha_d,23,0.813406646
manha_d,24,0.788995941
pcc_d,1,0.099975367
pcc_d,2,0.189778435
pcc_d,3,0.182752298
pcc_d,4,0.09735161
pcc_d,5,0.028557906
pcc_d,6,0.082723211
pcc_d,7,0.099020341
pcc_d,8,0.122484844
pcc_d,9,0.076488937
pcc_d,10,0.120083863
pcc_d,11,0.120384587
pcc_d,12,0.214917729
pcc_d,13,0.161352375
pcc_d,14,0.184664822
pcc_d,15,0.202160117
pcc_d,16,0.206691326
pcc_d,17,0.257419177
pcc_d,18,0.205525876
pcc_d,19,0.210027021
pcc_d,20,0.259528514
pcc_d,21,0.212190583
pcc_d,22,0.232358617
pcc_d,23,0.21017155
pcc_d,24,0.256007871
se_d,1,0.801890918
se_d,2,0.850771492
se_d,3,0.874381676
se_d,4,0.877548986
se_d,5,0.928735661
se_d,6,0.974051105
se_d,7,0.807392694
se_d,8,0.897290757
se_d,9,0.842755132
se_d,10,0.842755132
se_d,11,0.865842593
se_d,12,0.864493648
se_d,13,0.890404113
se_d,14,0.89181231
se_d,15,0.864590188
se_d,16,0.916896306
se_d,17,0.889933312
se_d,18,0.865168825
se_d,19,0.868142013
se_d,20,0.864107197
se_d,21,0.811884225
se_d,22,0.811884225
se_d,23,0.762697143
se_d,24,0.73643613
