Distance Measure,K,AK
BC-D,1,0.891686108
BC-D,2,0.850294118
BC-D,3,0.824169309
BC-D,4,0.850771492
BC-D,5,0.798368899
BC-D,6,0.772098138
BC-D,7,0.771272653
BC-D,8,0.789511972
BC-D,9,0.863332909
BC-D,10,0.817333105
BC-D,11,0.814518747
BC-D,12,0.889178568
BC-D,13,0.834438084
BC-D,14,0.861973431
BC-D,15,0.858156028
BC-D,16,0.783687943
BC-D,17,0.856180904
BC-D,18,0.831011508
BC-D,19,0.806966058
BC-D,20,0.805828904
BC-D,21,0.834538334
BC-D,22,0.825187109
BC-D,23,0.829692004
BC-D,24,0.852895675
Ch-D,1,0.823903956
Ch-D,2,0.795948426
Ch-D,3,0.805036115
Ch-D,4,0.873913221
Ch-D,5,0.823187186
Ch-D,6,0.812494015
Ch-D,7,0.788479136
Ch-D,8,0.768367971
Ch-D,9,0.841677842
Ch-D,10,0.866226971
Ch-D,11,0.838820712
Ch-D,12,0.913586294
Ch-D,13,0.888895074
Ch-D,14,0.862945068
Ch-D,15,0.886332135
Ch-D,16,0.907707227
Ch-D,17,0.882110685
Ch-D,18,0.857761958
Ch-D,19,0.80984363
Ch-D,20,0.861486519
Ch-D,21,0.834939034
Ch-D,22,0.83323272
Ch-D,23,0.78546633
Ch-D,24,0.832325827
Co-D,1,0.869307637
Co-D,2,0.797563984
Co-D,3,0.786924065
Co-D,4,0.823973116
Co-D,5,0.839315089
Co-D,6,0.860217119
Co-D,7,0.909210889
Co-D,8,0.843048327
Co-D,9,0.870898691
Co-D,10,0.848281457
Co-D,11,0.865842593
Co-D,12,0.820421747
Co-D,13,0.818532086
Co-D,14,0.843926344
Co-D,15,0.865554007
Co-D,16,0.815928866
Co-D,17,0.809741277
Co-D,18,0.809434035
Co-D,19,0.783897639
Co-D,20,0.782216524
Co-D,21,0.786820145
Co-D,22,0.781478475
Co-D,23,0.75725631
Co-D,24,0.760040515
DTW,1,0.869307637
DTW,2,0.765228818
DTW,3,0.788065135
DTW,4,0.838622754
DTW,5,0.855387502
DTW,6,0.806449639
DTW,7,0.806449639
DTW,8,0.802394589
DTW,9,0.780421403
DTW,10,0.824671354
DTW,11,0.80145196
DTW,12,0.830910192
DTW,13,0.831416465
DTW,14,0.872901366
DTW,15,0.848666467
DTW,16,0.791989214
DTW,17,0.767152263
DTW,18,0.743894043
DTW,19,0.765940984
DTW,20,0.743894043
DTW,21,0.748330129
DTW,22,0.739854552
DTW,23,0.744896924
DTW,24,0.744896924
E-D,1,0.798855432
E-D,2,0.848665782
E-D,3,0.849816041
E-D,4,0.850294118
E-D,5,0.827584055
E-D,6,0.867855482
E-D,7,0.840005976
E-D,8,0.863042072
E-D,9,0.84412114
E-D,10,0.840498582
E-D,11,0.865265164
E-D,12,0.890027528
E-D,13,0.912289425
E-D,14,0.936465322
E-D,15,0.888043063
E-D,16,0.863817056
E-D,17,0.864783182
E-D,18,0.814316819
E-D,19,0.811477087
E-D,20,0.861096462
E-D,21,0.862362436
E-D,22,0.81239246
E-D,23,0.811069459
E-D,24,0.810559235
EM-D,1,0.524730138
EM-D,2,0.600776708
EM-D,3,0.750611388
EM-D,4,0.681248094
EM-D,5,0.703996734
EM-D,6,0.680518617
EM-D,7,0.567639323
EM-D,8,0.689879741
EM-D,9,0.615516528
EM-D,10,0.70363088
EM-D,11,0.727456046
EM-D,12,0.753998533
EM-D,13,0.773229991
EM-D,14,0.778834483
EM-D,15,0.752135642
EM-D,16,0.733023464
EM-D,17,0.728301969
EM-D,18,0.70287613
EM-D,19,0.729145906
EM-D,20,0.703415396
EM-D,21,0.702119822
EM-D,22,0.699950322
EM-D,23,0.725651827
EM-D,24,0.820421747
JSD,1,0.857871149
JSD,2,0.921705392
JSD,3,0.89784255
JSD,4,0.847511446
JSD,5,0.88690347
JSD,6,0.88201409
JSD,7,0.887568731
JSD,8,0.885664274
JSD,9,0.86119402
JSD,10,0.886236812
JSD,11,0.889744795
JSD,12,0.810048242
JSD,13,0.834838904
JSD,14,0.836237981
JSD,15,0.837631184
JSD,16,0.860705937
JSD,17,0.833132075
JSD,18,0.832022982
JSD,19,0.804272118
JSD,20,0.782321832
JSD,21,0.774657369
JSD,22,0.774980089
JSD,23,0.80019109
JSD,24,0.774980089
Mah-D,1,0.538422106
Mah-D,2,0.447264878
Mah-D,3,0.444221653
Mah-D,4,0.532899776
Mah-D,5,0.509313977
Mah-D,6,0.412090451
Mah-D,7,0.449585094
Mah-D,8,0.390987382
Mah-D,9,0.436131176
Mah-D,10,0.435482661
Mah-D,11,0.411168885
Mah-D,12,0.360239636
Mah-D,13,0.389792715
Mah-D,14,0.389792715
Mah-D,15,0.41771023
Mah-D,16,0.4154969
Mah-D,17,0.390987382
Mah-D,18,0.368220472
Mah-D,19,0.345631573
Mah-D,20,0.321165021
Mah-D,21,0.321165021
Mah-D,22,0.30045048
Mah-D,23,0.30045048
Mah-D,24,0.277994872
Man-D,1,0.870655271
Man-D,2,0.848857775
Man-D,3,0.827681104
Man-D,4,0.847607797
Man-D,5,0.773948347
Man-D,6,0.845190455
Man-D,7,0.86966587
Man-D,8,0.836935314
Man-D,9,0.868809591
Man-D,10,0.842852893
Man-D,11,0.866994356
Man-D,12,0.914140435
Man-D,13,0.916530278
Man-D,14,0.937825484
Man-D,15,0.912660514
Man-D,16,0.887188753
Man-D,17,0.912382239
Man-D,18,0.862362436
Man-D,19,0.863913799
Man-D,20,0.862556763
Man-D,21,0.836437369
Man-D,22,0.834738744
Man-D,23,0.813406646
Man-D,24,0.788995941
PCC,1,0.099975367
PCC,2,0.189778435
PCC,3,0.182752298
PCC,4,0.09735161
PCC,5,0.028557906
PCC,6,0.082723211
PCC,7,0.099020341
PCC,8,0.122484844
PCC,9,0.076488937
PCC,10,0.120083863
PCC,11,0.120384587
PCC,12,0.214917729
PCC,13,0.161352375
PCC,14,0.184664822
PCC,15,0.202160117
PCC,16,0.206691326
PCC,17,0.257419177
PCC,18,0.205525876
PCC,19,0.210027021
PCC,20,0.259528514
PCC,21,0.212190583
PCC,22,0.232358617
PCC,23,0.21017155
PCC,24,0.256007871
SE-D,1,0.801890918
SE-D,2,0.850771492
SE-D,3,0.874381676
SE-D,4,0.877548986
SE-D,5,0.928735661
SE-D,6,0.974051105
SE-D,7,0.807392694
SE-D,8,0.897290757
SE-D,9,0.842755132
SE-D,10,0.842755132
SE-D,11,0.865842593
SE-D,12,0.864493648
SE-D,13,0.890404113
SE-D,14,0.89181231
SE-D,15,0.864590188
SE-D,16,0.916896306
SE-D,17,0.889933312
SE-D,18,0.865168825
SE-D,19,0.868142013
SE-D,20,0.864107197
SE-D,21,0.811884225
SE-D,22,0.811884225
SE-D,23,0.762697143
SE-D,24,0.73643613
