x_coor,y_coor,z_coor(Chi-Square)
0.0,0.0,0.003557
0.5,0.0,0.01921
1.0,0.0,0.009788
1.5,0.0,0.008335
2.5,0.0,0.003577
3.0,0.0,0.005046
3.5,0.0,0.008577
4.0,0.0,0.005597
4.5,0.0,0.006351
5.0,0.0,0.002554
5.5,0.0,0.01401
6.5,0.0,0.001314
8.5,0.0,0.007656
9.0,0.0,0.01026
9.5,0.0,0.009935
10.0,0.0,0.004441
10.5,0.0,0.005902
11.5,0.0,0.004459
12.0,0.0,0.002157
12.5,0.0,0.005779
13.0,0.0,0.003393
14.0,0.0,0.002522
14.5,0.0,0.002109
15.0,0.0,0.001816
15.5,0.0,0.003115
16.0,0.0,0.01793
0.8,0.458,0.004241
1.3,0.458,0.003209
1.8,0.458,0.004399
2.3,0.458,0.001378
2.8,0.458,0.002348
3.3,0.458,0.01261
3.8,0.458,0.01023
4.3,0.458,0.004476
4.8,0.458,0.004459
5.3,0.458,0.003931
5.8,0.458,0.009833
6.3,0.458,0.006989
7.3,0.458,0.002666
7.8,0.458,0.01803
8.3,0.458,0.001373
9.3,0.458,0.0004402
9.8,0.458,0.0004402
11.3,0.458,0.001994
11.8,0.458,0.005113
12.8,0.458,0.005145
13.8,0.458,0.001585
14.3,0.458,0.02137
14.8,0.458,0.003778
15.3,0.458,0.005242
15.8,0.458,0.005378
16.3,0.458,0.008933
16.8,0.458,0.01993
0.1,0.917,0.00653
2.1,0.917,0.004295
2.6,0.917,0.000943
3.1,0.917,0.001693
3.6,0.917,0.003553
4.1,0.917,0.01171
4.6,0.917,0.002351
5.1,0.917,0.01477
5.6,0.917,0.007149
6.1,0.917,0.001907
6.6,0.917,0.009416
7.1,0.917,0.008958
8.1,0.917,0.0009284
9.1,0.917,0.009761
9.6,0.917,0.001708
10.1,0.917,0.006348
10.6,0.917,0.004758
11.1,0.917,0.001712
11.6,0.917,0.003651
12.1,0.917,0.006693
12.6,0.917,0.0008906
13.1,0.917,0.005257
14.1,0.917,0.002333
14.6,0.917,0.006776
15.1,0.917,0.003005
15.6,0.917,0.00163
16.1,0.917,0.003006
16.6,0.917,0.006164
0.4,1.375,0.004184
0.9,1.375,0.001626
1.4,1.375,0.005875
1.9,1.375,0.006027
2.4,1.375,0.00515
2.9,1.375,0.006638
3.4,1.375,0.002136
3.9,1.375,0.003003
4.4,1.375,0.01385
4.9,1.375,0.01557
5.4,1.375,0.004426
5.9,1.375,0.004627
6.9,1.375,0.003328
9.4,1.375,0.008455
10.4,1.375,0.002565
10.9,1.375,0.00922
12.4,1.375,0.00363
13.9,1.375,0.00553
14.4,1.375,0.001821
15.4,1.375,0.009345
16.9,1.375,0.004021
0.2,1.833,0.003542
0.7,1.833,0.005403
1.2,1.833,0.002647
1.7,1.833,0.007398
2.2,1.833,0.001451
2.7,1.833,0.004692
3.2,1.833,0.01329
3.7,1.833,0.009112
4.2,1.833,0.04055
5.2,1.833,0.006771
5.7,1.833,0.005481
7.7,1.833,0.02435
8.2,1.833,0.01119
8.7,1.833,0.001349
9.2,1.833,0.01547
10.7,1.833,0.01492
12.7,1.833,0.01707
13.2,1.833,0.01401
13.7,1.833,0.008399
14.2,1.833,0.005664
15.2,1.833,0.002454
15.7,1.833,0.01528
16.2,1.833,0.007652
