x_coor,y_coor,z_coor(Chi-Square)
0.0,0.0,0.0009737746163961431
0.5,0.0,0.05634216909252512
1.0,0.0,0.003247979865368206
1.5,0.0,0.0017361264086155758
2.5,0.0,0.16835948006164433
3.0,0.0,0.014463025766513296
3.5,0.0,0.009874292651384826
4.0,0.0,0.007120769505225603
4.5,0.0,0.005040780036569479
5.0,0.0,0.02812789755253986
5.5,0.0,0.021289121936193464
6.5,0.0,0.000961168324342584
7.5,0.0,0.42507934691488064
8.5,0.0,1.137289085133317
9.0,0.0,0.04695903064909335
9.5,0.0,0.0064435657345837645
10.0,0.0,0.029608192334338302
10.5,0.0,0.024999124987624213
11.5,0.0,0.030841160508975545
12.0,0.0,0.02525703205661008
12.5,0.0,0.03750155484688616
13.0,0.0,0.014079217065692472
14.0,0.0,0.020420457091770556
14.5,0.0,0.0065912043730073115
15.0,0.0,0.0016331435601139243
15.5,0.0,0.009969609760448453
16.0,0.0,0.05257981316055705
0.3,0.458,0.008357296854439977
0.8,0.458,0.005591487950386115
1.3,0.458,578795118.5196307
1.8,0.458,0.007181278630710063
2.3,0.458,0.02945954672943672
2.8,0.458,0.2754021049677949
3.3,0.458,0.07682493584476856
3.8,0.458,0.1302579805539226
4.3,0.458,0.13015600612765846
4.8,0.458,0.03541868318753518
5.3,0.458,0.03805362697615114
5.8,0.458,0.018006745583791745
6.3,0.458,0.0046406653397051715
7.3,0.458,0.001222336254909336
7.8,0.458,0.013075817469689846
8.3,0.458,0.001390355739337507
9.3,0.458,0.0004170151436555603
9.8,0.458,0.0001383008733272259
11.3,0.458,0.01307561023355603
11.8,0.458,1.0612589293202392
12.8,0.458,0.005318925215095694
13.8,0.458,0.0013817059572618182
14.3,0.458,0.010763212341935167
14.8,0.458,0.0053101871217919585
15.3,0.458,0.006132681907426105
15.8,0.458,0.008647034181162248
16.3,0.458,0.011430488829482324
16.8,0.458,0.06333158411733684
0.1,0.917,0.03570178945171099
2.1,0.917,0.011502200843041738
2.6,0.917,0.003794468339365757
3.1,0.917,0.030486513237957206
3.6,0.917,0.011064823606717717
4.1,0.917,0.05526258607975456
4.6,0.917,0.039283450945465405
5.1,0.917,0.08012668560918947
5.6,0.917,0.01200989332569021
6.1,0.917,0.03453684763021595
6.6,0.917,0.05638638918294264
7.1,0.917,0.07494287095057757
8.1,0.917,0.0011387681572256868
9.1,0.917,0.010113288994981482
9.6,0.917,0.009193330046298596
10.1,0.917,0.1306829338472613
10.6,0.917,0.008457678632379898
11.1,0.917,0.059835003214048436
11.6,0.917,0.00585644852589758
12.1,0.917,0.1013429741515584
12.6,0.917,0.00446692900875342
13.1,0.917,0.03652387729302493
14.1,0.917,0.013930172319703006
14.6,0.917,0.004591369252599297
15.1,0.917,0.005297480939251941
15.6,0.917,0.003939512276434634
16.1,0.917,0.019571510023022893
16.6,0.917,0.012641444616123773
0.4,1.375,0.03343247342948672
0.9,1.375,0.0077646991170865765
1.4,1.375,0.044536510465344646
1.9,1.375,0.038060938370977855
2.4,1.375,0.06909782098331181
2.9,1.375,0.06530075541097032
3.4,1.375,0.0470493704864059
3.9,1.375,0.04498488852827917
4.4,1.375,0.0205141329558088
4.9,1.375,0.06752877754082755
5.4,1.375,0.11247130039626173
5.9,1.375,0.04416485306397556
6.9,1.375,0.05687115797604108
9.4,1.375,0.041359502911327305
10.4,1.375,0.005686637791354314
10.9,1.375,0.024957623863227408
12.4,1.375,0.0047880770755393725
13.9,1.375,0.008648144361420505
14.4,1.375,0.001729821362997074
15.4,1.375,0.005759821847000507
16.9,1.375,0.00317337282767417
0.2,1.833,0.013867146120548802
0.7,1.833,0.011777115244910907
1.2,1.833,0.10808846585402647
1.7,1.833,0.018579448695492797
2.2,1.833,0.006737179988217861
2.7,1.833,0.24524587095541175
3.2,1.833,0.6103467921190513
3.7,1.833,0.3452390007868636
4.2,1.833,0.38562929523525646
5.2,1.833,0.42287470924141174
5.7,1.833,0.28321502983556895
7.7,1.833,0.15078284962064134
8.2,1.833,0.007353619449298558
8.7,1.833,2.2671494587143695
9.2,1.833,0.29449284734350395
10.7,1.833,0.033999837098321585
12.7,1.833,0.1937865674251671
13.2,1.833,0.013075749303860884
13.7,1.833,0.09996107042470471
14.2,1.833,0.005490386141221381
15.2,1.833,0.012572755604324014
15.7,1.833,0.4860779092371439
16.2,1.833,0.17774891386622896
