FileName,addC
1-1,Y
1-2,Y
1-3,Y
1-4,Y
1-6,Y
1-7,Y
1-8,Y
1-9,Y
1-10,Y
1-11,Y
1-12,Y
1-14,Y
1-16,Y
1-18,Y
1-19,Y
1-20,Y
1-21,Y
1-22,Y
1-24,Y
1-25,Y
1-26,Y
1-27,Y
1-29,Y
1-30,Y
1-31,Y
1-32,Y
1-33,Y
2-1,Y
2-2,Y
2-3,Y
2-4,Y
2-5,Y
2-6,Y
2-7,Y
2-8,Y
2-9,Y
2-10,Y
2-11,Y
2-12,Y
2-13,Y
2-15,N
2-16,Y
2-17,Y
2-19,Y
2-20,Y
2-23,Y
2-24,Y
2-26,Y
2-28,N
2-29,N
2-30,Y
2-31,Y
2-32,Y
2-33,Y
2-34,Y
3-1,Y
3-5,Y
3-6,Y
3-7,Y
3-8,Y
3-9,Y
3-10,Y
3-11,Y
3-12,Y
3-13,Y
3-14,Y
3-15,Y
3-17,Y
3-19,Y
3-20,Y
3-21,Y
3-22,Y
3-23,Y
3-24,Y
3-25,Y
3-26,Y
3-27,Y
3-29,Y
3-30,Y
3-31,Y
3-32,Y
3-33,Y
3-34,Y
4-1,Y
4-2,Y
4-3,Y
4-4,Y
4-5,Y
4-6,Y
4-7,Y
4-8,Y
4-9,Y
4-10,Y
4-11,Y
4-12,Y
4-14,Y
4-19,Y
4-21,Y
4-22,Y
4-25,Y
4-28,Y
4-29,N
4-31,Y
4-34,Y
5-1,Y
5-2,Y
5-3,Y
5-4,Y
5-5,Y
5-6,Y
5-7,N
5-8,Y
5-9,Y
5-11,Y
5-12,Y
5-16,Y
5-17,Y
5-18,Y
5-19,Y
5-22,Y
5-26,Y
5-27,Y
5-28,N
5-29,Y
5-31,Y
5-32,Y
5-33,Y
